idx,name,price
1, Origen  ,96381
2, Santa María De Iquique. La Muerte de la República (Novela)  ,82000
3, UNA COLUMNA DE FUEGO  ,54048
4, Juego de Tronos (Cancion de Hielo y Fuego #1) (b)  ,73190
5, Los Amantes de Praga  ,78762
6," Trilogía de la Nube Blanca (Incluye en el País de la Nube Blanca, la Canción de los Maoríes y el Grito de la Tierra) (Grandes Novelas)  ",170048
7, Trilogia de la Fundacion [Fundacion / Fundacion e Imperio / Segunda Fundacion]  ,84190
8, El Silencio de los Malditos  ,82000
9, Origen  ,75143
10, Sigo Siendo yo (yo Antes de tí #3)  ,84952
11, La Bailarina de Auschwitz  ,81714
12, Apocalipsis  ,73190
13," Escrito en el Agua (libro en Español | ISBN: 9789563602746 | Código: 10184331 | Formato: 13 x 21,5 cm. | Presentación: Tapa Blanda | Colección: Planeta Internacional | Traductor: Aleix Montoto )  ",84667
14, It (Eso)  ,72571
15, Una Cancion Para Lya. Ciencia Ficcion i  ,56905
16," Chica de Antes, la  ",59524
17, Codigo America  ,79048
18, Fin de Guardia  ,79048
19, Confesiones de una Soltera  ,67286
20, Viajeros de la Noche. Ciencia Ficcion ii  ,59000
21, Festín de cuervos  ,73190
22, Los Reyes Malditos Iii. Los Venenos de la Corona  ,67286
23, Más Oscuro  ,87905
24, It  ,94571
25, Flor de Lis y el León. Reyes Malditos VI  ,67286
26, Los Reyes Malditos Vii. De Como un rey Perdió Francia  ,67286
27, El Bosque Oscuro ( Libro 2 de la Trilogia Tres Cuerpos )  ,54952
28, El Hombre que Perseguía su Sombra  ,105238
29, Esa vida que imaginamos  ,78762
30, Más Allá del Invierno  ,82000
31, La Chica del Tren  ,81714
32, Te Esperaré Toda mi Vida  ,59952
33, La luz que no puedes ver  ,93762
34, Balmaceda. La Guerra Entre Chilenos (Novela)  ,87905
35, Mr. Mercedes  ,82000
36, CHOQUE DE REYES [Paperback] MARTIN  ,73238
37, Salisbury  ,81714
38, El Temor de un Hombre Sabio  ,47000
39, El Problema de los Tres Cuerpos  ,82714
40, El Verbo Kaifman  ,69952
41, Andinia. La Catedral Antartica  ,87619
42, La Sangre de los Dioses (Las Memorias del Juramento #3) (libro en Castellano )  ,90810
43, Yo Antes de tí (yo Antes de tí #1)  ,82000
44, El Pozo de la Ascension  ,63190
45, Synco (Nueva Edicion)  ,79048
46, El Caballero de los Siete Reinos  ,199524
47, Sorpréndeme  ,56524
48," Pídeme lo que Quieras, Ahora y Siempre  ",53905
49, El Laberinto de los Espiritus  ,105238
50, El Psicoanalista  ,97952
51, Olvidé Olvidarte  ,47000
52, Arcanum Ilimitado: La Colección del Cosmere (la Coleccion del Cosmere  ,80476
53, El Invierno del Mundo  ,70524
54, El Ùltimo Virrey Del Perú  ,75810
55, El amante japonés  ,82000
56, Nacidos de la Bruma 5: Sombras de Identidad  ,59000
57, Dientes de Dragón  ,79048
58, Asesinato en el Orient Express  ,64048
59, Mujeres que Compran Flores  ,84952
60, Te lo Dije  ,59952
61, carrie  ,64429
62, Desearas  ,53857
63, Un mundo sin fin (EXITOS) ,82714
64, Pideme lo que Quieras o Déjame: Serie Pideme lo que Quieras 3  ,56524
65, El Hobbit  ,65810
66, Colorado kid  ,52810
67, El Hombre en el Castillo  ,59952
68, Código Chile  ,79048
69, Cincuenta Sombras de Grey  ,73190
70, Aleación de ley (Nacidos de la Bruma [Mistborn] 4)  ,80476
71, Un Mundo sin fin  ,67619
72, Cincuenta Sombras Liberadas  ,54048
73, Neverwhere  ,70524
74, El Método 15/33  ,93048
75, Las Hijas del Capitán  ,96381
76, La Chica que Dejaste Atras  ,84952
77, El dia que el Cielo se Caiga  ,68095
78, El Amante Japonés  ,54952
79, El Envío  ,84952
80, Tormenta de espadas  ,84952
81, Nuestos años verde olivo  ,42000
82, Festín de cuervos. Canción de hielo y fuego IV  ,105524
83, Personas Desconocidas  ,71667
84," Hola,¿ Te Acuerdas de mí?  ",57000
85, LAS HIJAS DEL CAPITAN  ,73810
86, Tu Segunda Vida Empieza Cuando Descubres que Solo Tienes una  ,121952
87, El Aliento de los Dioses  ,93857
88, Fantasmas del Pasado  ,52714
89, Brazales de Duelo (Nacidos de la Bruma [Mistborn] 6) (Nova)  ,80476
90, Jaque Al Psicoanalista ,79048
91, Mensaje en una Botella  ,61429
92, Cuéntame Esta Noche: Relatos Seleccionados (Especial Enero 2016)  ,34905
93, Ángeles y Demonios (libro en CastellanoNº Edición: 1Fecha de edición: 01 ,56905
94, Fortaleza Digital  ,66905
95, Cincuenta Sombras mas Oscuras  ,73190
96, El Símbolo Perdido  ,66905
97, Sígueme la Corriente  ,59952
98, Sofía No Está Bien. Una Historia De Amor y Otras Apps  ,73190
99, Uno mas uno  ,79048
100, Alex  ,79048
101, Diario de una Pasion  ,67286
102, Aprendiz de asesino. Trilogía del asesino. Libro I  ,76095
103, Adivina Quién soy (la Erótica)  ,57000
104, El verbo kaifman  ,81714
105, La Villa de las Telas  ,101286
106, El Señor de los Anillos. Ilustrado por Alan lee (Biblioteca j. R. R. Tolkien)  ,959524
107, Adivina Quien soy Esta Noche: Serie Adivina Quien soy 2  ,57000
108, Toda la Verdad  ,84667
109, Anatomia De Un Escandalo ,60667
110, Blockade Billy  ,45810
111, El Rumor de la Caracola  ,62000
112, Lo Mejor de mi  ,54476
113, La Universidad es un Desastre  ,81714
114, Diario de una Pasion Spanish Edition  ,61810
115, Armada  ,70524
116, Los Detectives Salvajes  ,86952
117, Desaparecido en Concepcion  ,79048
118, El Principe Lestat y los Reinos de la Atlantida  ,56000
119, La Naranja Mecánica  ,68762
120, Dime Quien soy  ,58190
121, El Fuego Invisible (Premio Planeta 2018)  ,84667
122, El Juego del Angel  ,75810
123, Mago y Cristal (la Torre Oscura #4) (b)  ,70238
124, La Obsesion  ,63524
125, Patria  ,73810
126, Un abogado rebelde  ,84952
127," Tú, Nada más  ",79762
128, 3. La Legion Perdida  Trilogia de Trajano  ,85238
129, La Elegancia del Erizo  ,64048
130, Los Pilares de la Tierra  ,82714
131, Un Extraño en Casa  ,79048
132, Doctor Sueño  ,68048
133, Una Herencia Misteriosa  ,79048
134, Una Promesa en el fin del Mundo  ,84952
135, Niyomismalosé  ,63381
136, Aniquilación  ,92286
137, Mas Alla del Invierno  ,67619
138, Los Médici. Un Hombre al Poder (Los Médici 2)  ,69333
139, El Resplandor  ,65238
140, Condenados ( Libro 1 de la Saga Down )  ,64476
141, Diario de Quedar Embarazada  ,73190
142, Al Atardecer  ,90810
143, El Adversario  ,93810
144, Todo o Nada. El Affaire Blackstone ii  ,102381
145, El Manuscrito Encontrado En Accra  ,55524
146, Omerta  ,51048
147, El umbral de la eternidad  ,108476
148, Las Legiones Malditas (Trilogía Africanus 2)  ,55952
149, DOMINA ,79048
150, El Soborno  ,82000
151, Endymion (Los Cantos de Hyperion #3)  ,59000
152, La Traición de Roma (Trilogía Africanus 3)  ,55952
153, Un Lugar Donde Refugiarse  ,52714
154, El Rescate  ,61810
155, El Prisionero del Cielo  ,81714
156, Danza de Dragones  ,84952
157, La Sustancia del mal  ,84952
158, Hyperion (Los Cantos de Hyperion Vol. I) (Nova)  ,145619
159, Hhhh  ,63381
160, Metro 2035  ,90952
161, Los Hombres Que No Amaban A Las Mujeres (Bestseller Internacional) ,66905
162, Nemesis  ( Libro 4 de la Serie Harry Hole ). Harry Hole 4  ,71667
163, Doctor Sueño  ,232048
164, Las Naves de la Locura  ,75095
165, La Conspiracion  ,77190
166, La Estación de las Flores en Llamas  ,82714
167, Bajo Cielos Lejanos  ,90810
168, A ti que te Importa?  ,68095
169, Visiones de Robot  ,64429
170, Todo Oscuro sin Estrellas Debols! Llo  ,61905
171, Lo que no te Mata te Hace más Fuerte  ,66905
172, Seveneves  ,101238
173, El Caso Neruda  ,61429
174, Adulterio  ,58476
175, La Elegida  ,59000
176, El fin de la Muerte (Trilogía de los Tres Cuerpos 3)  ,67143
177, A Primera Vista  ,54476
178, La Sombra del Viento  ,70333
179, Los Padecientes  ,78762
180, Estuche Tolkien  ,396333
181, Las Siete Hermanas 3. La hermana sombra  ,80810
182, Cuentame Esta Noche Relatos Seleccionados  ,60714
183, La Isla Bajo el mar  ,115190
184, El Cementerio de Praga  ,70429
185, El Umbral de la Eternidad  ,118619
186," Sirena, La  ",59000
187, El Secreto de mi Marido  ,82000
188, Need you Admite que Necesitas su Amor  ,63571
189, El Caballero de los Siete Reinos  ,59000
190, 22  ,39190
191, La conspiración  ,73619
192, Despues de Todo Estas tu  ,82000
193, Firefight (Trilogía de los Reckoners 2) (Nova)  ,63952
194, La luz de la Tierra  ,72095
195, El Secreto de Gray Mountain  ,75048
196, Danza de Dragones (Cancion de Hielo y Fuego #5) (Tb)  ,108476
197, Estados Unidos de Japón  ,93429
198, Cincuenta Sombras Liberadas  ,90810
199, El Valle de Luzbel  ,208381
200, Canción de Hielo y Fuego 2: Choque de Reyes  ,92190
201, Detrás del muro  ,82000
202, Inevitable Desastre  ,64333
203, Media Guerra (el mar Quebrado 3)  ,70524
204, La Carretera  ,64381
205, It (Eso)  ,112762
206, La Caída de Hyperion (Los Cantos de Hyperion Vol. Ii) (Nova)  ,87000
207, La Chica del Tren  ,77286
208, La cumbre escarlata  ,76095
209, Lugares oscuros  ,79048
210, Solo Nosotros dos  ,67619
211, Los Siete Pilares de la Sabiduría  ,57000
212, Deseo Concedido (Las Guerreras Maxwell #1)  ,68095
213, Las Siete Hermanas 2. La Hermana Tormenta  ,90810
214, Llamada Para el Muerto  ,57667
215, Criptonomicón  ,67571
216, El Intermediario  ,61905
217, Neuromante  ,78476
218, El Topo ,57667
219, Las Confesiones del Joven Nerón  ,82000
220, Luna Nueva (Trilogía Luna 1)  ,64476
221, Mentiras Peligrosas  ,64333
222, El Juego de Ender (Premio Nébula 1985) (Premio Hugo 1986) (Bestseller Zeta Bolsillo)  ,58476
223, El Alquimista. ( Nueva Edicion )  ,76667
224, El Sendero del Amor  ,58905
225, Sígueme la Corriente  ,65286
226, El Temor de un Hombre Sabio (Crónicas del Asesino #2)  ,93762
227, Danza de Dragones  ,86524
228," Hola,? Te Acuerdas de mi?  ",71143
229, La Tierra del sol Poniente  ,84952
230, Grey  ,237667
231, La Guerra de los Mundos  ,50762
232, Operación Requiem  ,73190
233, La Senda del Perdedor  ,45000
234," Tierras Baldias, las (Torre Oscura Iii)  ",65238
235, Maravillosa Redención (Hermanos Maddox #2) (libro en Español; Formato: Rústica; Medidas: 15 X 24 mm; ISBN: 9789569585289)  ,79048
236, Bajo la Luna de Hawai  ,257190
237, El Muñeco de Nieve (Harry Hole 7)  ,71667
238, La Cúpula (Under the Dome) (b)  ,101238
239, El Tiempo Entre Costuras  ,66905
240, La Isla de las mil Fuentes  ,67571
241, El año en que te Conoci  ,67524
242, Aleph  ,58476
243, Maldito Karma  ,57000
244, El Libro de los Baltimore  ,64857
245, Marina  ,63381
246, Rugendas. Una Novela  ,87905
247, El Hobbit  ,125190
248, Tengo Ganas de ti  ,56524
249, Joyas del Sol ,52333
250, Historias Envolá  ,67286
251, El Cazador (Inspector Joona Linna #6)  ,90810
252, Relatos de una Mujer Borracha  ,67286
253, Reckoners 1. Steelheart  ,105095
254, La Puerta de las Tinieblas (Condenados 2)  ,68667
255, Rey de Picas  ,56905
256," Magico, Sombrio, Impenetrable  ",65238
257, Inferno (Versión Española) (Planeta Internacional)  ,105238
258, El banquete celestial   ,69333
259, El Guardián Invisible  ,66905
260, Centurio  ,101667
261, El Código da Vinci  ,63381
262, La Dama de la Ciudad Prohibida  ,93762
263, LA VIDA ETERNA DE PHINEAS GAGE  ,87905
264, Daringham Hall: El Retorno  ,67524
265, El Imperio Eres tú  ,70333
266, En el Bosque  ,60238
267, El leopardo  ,80429
268, Hotel Vendome  ,61905
269, Hombres buenos  ,234190
270, Detestable Error  ,282190
271, La Marca de la Sangre  ,80476
272, LAS DOS DESPUES DE LA MEDIA NOCHE  ,59524
273, La Mentira ,41714
274, Inferno ,66905
275, Desde Donde se Domine la Llanura  ,92286
276, La Cena Secreta  ,90524
277, Blue  ,79048
278, Tormenta de Espadas  ,92190
279, Las Olas del Destino  ,67571
280, El Secreto del Solsticio de Verano  ,90810
281, Una Libreria en Berlin  ,59762
282, A Tres Metros Sobre el Cielo  ,53333
283, Las Puertas Templarias  ,63381
284, Factotum  ,72000
285, Luces del sur  ,59524
286, Canción de Hielo y Fuego 4: Festín de Cuervos  ,92190
287, Batalla de reyes. Profecía de Merlín I  ,87905
288, El ruiseñor  ,93762
289, Viajera  ,67476
290, Autoridad  ,96381
291, La herencia (Spanish Edition)  ,67524
292, Medio rey (el mar Quebrado 1)  ,82000
293, Logia  ,69952
294, 2. La Llegada de los Tres  la Torre Oscura  ,59524
295, La Chica Que Tocaba El Cielo (b De Bolsillo)  ,70238
296, El Cuaderno de Maya  ,115190
297, Intuición  ,87619
298, Un Saco de Huesos Debols! Llo  ,68048
299, Dr. Bloodmoney  ,59952
300, Daringham Hall. La Decisión (Trilogía Daringham Hall 2)  ,67524
301, La Leyenda de la Montaña de Fuego  ,67571
302, La Química  ,82000
303, El Hombre que Perseguia su Sombra (Millennium #5)  ,71190
304, La Última Milla  ,67095
305, El Barco De Ebano  ,76095
306, Mujeres  ,66714
307, Almanegra (Trilogia del Perdon #2)  ,70095
308, Se lo que Estas Pensando  ,56905
309, La Pirámide Inmortal: El Secreto Egipcio de Napoleón (Biblioteca Javier Sierra)  ,66905
310, Ha Vuelto  ,63381
311, Escuela de Sangre  ,65238
312, La Templanza ,77286
313, La Pareja de al Lado  ,79048
314, La viuda  ,84667
315, Trilogía Condenados 3. La Invasión de las Tinieblas  ,53857
316, Asesinato de Calidad  ,57667
317, El Sari Rojo. Cuando la Vida es el Precio del Poder (Edición de Bolsillo)  ,70333
318, La Sombra del Viento  ,75143
319, El Grito de la Tierra  ,62000
320, En Nombre del Amor (Pelicula)  ,64333
321, Sangre en el Tamesis  ,67143
322, Pequeñas Mentiras  ,67524
323, El Juego del Angel (Cementerio de Libros Olvidados #2)  ,82429
324, El Juego de Ripper  ,67619
325, El Nombre de la Rosa  ,54952
326, El Ascenso de Endymion  ,46714
327, Metro 2034  ,63381
328, Sueños de Robot  ,64429
329, La Piedra de Fuego  ,53619
330, Atrapada en el Tiempo  ,63762
331, Los Besos en el pan  ,68524
332, El Codigo da Vinci ( Nueva Edicion )  ,70238
333, El laberinto de oro (B DE BOLSILLO) ,64381
334, En las Montañas de la Locura  ,59190
335," Charles street, n.°44  ",61905
336, Ni lo Sueñes  ,63381
337, Dime Quien soy  ,115190
338, cuando te encuentre  ,52714
339, El Legado  ,41714
340, Aceptación  ,96381
341, Roma: El Espía del Emperador  ,65000
342, Me Encontrarás en el fin del Mundo  ,59952
343, aleph  ,63095
344, El Sendero del Amor  ,54476
345, Draco. La Sombra del Emperador  ,84952
346, Polvo  ,80476
347, Una casa en Thornwood  ,398238
348, La Hermandad de la Sabana Santa  ,58190
349, Belgravia  ,84952
350, La Niña Perdida  ,90810
351, La Pirámide Inmortal  ,65476
352, Perdida  ,68048
353, El Tren de los Huerfanos  ,67524
354," Te Comeria, Amor  ",73190
355, Después de tí (yo Antes de tí #2)  ,79048
356, Dr. Engel  ,104429
357, Calendar Girl iii  ,54286
358, El Alquimista  ,69952
359, Mucho más que un Club de Chicas  ,210905
360, La Granja de Cuerpos (Doctora kay Scarpetta 5) (b de Bolsillo)  ,56905
361, La Mujer de mi Vida  ,90952
362, El Aguila de Plata  ,52714
363, Nanai  ,67000
364, La Isla Bajo el mar  ,64429
365, La Confesion  ,78238
366, La Dama Azul  ,66905
367, El Infiltrado  ,66905
368, Danza de Dragones (Cancion de Hielo y fu  ,73238
369, Los Pilares de la Tierra  ( Libro 1 de los Pilares de la Tierra )  ,70524
370, Ofrenda a la Tormenta  ,66905
371, Madame Serpiente  ,54476
372," Santiago Quiñones, perro muerto  ",73190
373, Hachiko. El Perro que Esperaba  ,45000
374, Maravilloso error  ,82000
375, El día de la Independencia  ,82000
376, Circo Maximo. La ira de Trajano (Trilogia de Trajano  ,77286
377, El enigma KBO  ,84667
378, Trauma  ,70524
379, La sed  ( Libro 11 de la Serie Harry Hole )  ,71667
380, La llave del destino  ,104810
381, El Pistolero. La Torre Oscura i  ,85619
382, Esperanza del venado  ,52714
383, Rosy y John  ,52000
384, yo el supremo (debols!llo)  ,193476
385, El Presidente Ha Desaparecido  ,96381
386, Sarum. La Novela de Inglaterra  ,82714
387, Cancion de Susannah (Torre Oscura vi)  ,56095
388," Naves de la Magia, las  ",82048
389, Bruja Oscura (Trilogía de los Odwyer #1)  ,52810
390, Los Médici. Una Reina al Poder (Los Médici 3)  ,69333
391, El Medico  ,64429
392, Mensaje en una Botella  ,52714
393, No es amor es solo París  ,64667
394, Tormenta de Espadas  ,86524
395, Nombre de Torero  ,65810
396, MUERTE DE UN IMPERIO  ,86143
397, El Señor de los anillos I: La comunidad del anillo  ,77619
398, El Pistolero (la Torre Oscura #1) (b)  ,50762
399, Plataforma  ,70190
400, Mr. Mercedes  ( Libro 1 de la Trilogia Bill Hodges )  ,71667
401," Yo, Livia (Histórica)  ",80476
402, Querido John (Rocabolsillo Bestseller)  ,54476
403," Muy Profundo ii. Eterno: Ella: Mi Ángel, yo: Su Demonio  ",67048
404," Sissi, Emperatriz Accidental  ",62952
405, Mil Soles Esplendidos  ,62619
406, El Hombre que Perseguia al Tiempo  ,77524
407, 29  ,59905
408, La Madre Perfecta  ,79048
409, Calle de las Tiendas Oscuras  ,75952
410, El Libro de los Espejos  ,60667
411, Sinsajo  ,40000
412, Las Lágrimas de la Diosa Maorí  ,54952
413, En Llamas  ,56095
414, El Secreto de Gray Mountain  ,59524
415, Un Espia Perfecto  ,60714
416, Veinte Preguntas Para Gloria  ,67238
417, Gog. Empieza la Cuenta Atrás  ,75810
418, La Historia de Maia ( Libro 1 de las Siete Hermanas )  ,77000
419, En el Corazon de la Isla de Fuego  ,60238
420, El Paseo ,53333
421, El Sueño y la Muerte  ,55000
422, Desde mi Cielo  ,74667
423, La Salvación de una Santa  ,55524
424, Las Lágrimas de la Diosa Maorí  ,57000
425," Respira, Rebecca, Respira  ",71524
426, El Camino de los Dioses  ,102571
427, El Pantano de las Mariposas  ,66810
428, Las Cartas Secretas del Monje que Vendió su Ferrari  ,61238
429, Memorias del Aguila y del Jaguar  ,64381
430, Las Valkirias  ,55524
431, La Cúpula  ,70857
432," Adios, Muñeca (b)  ",59810
433, La luz de la Noche  ,69333
434, Herejía (Matthew Shardlake 6) (Histórica)  ,69000
435, El Arte de Matar  ,60095
436, Corazonadas en Cada Historia Simpre hay dos Versiones  ,56524
437, Faraon  ,70762
438, Noches de Tormenta  ,47048
439," Valis (libro en Castellano Encuadernación: Rústica Con Solapas Páginas: 304 Dimensiones: 14 X 22,5 Cm. Peso: 405)  ",91286
440, La Venganza Viste de Prada  ,63381
441, Inferno ( Tapa De La Pelicula ) ,67143
442, El Coleccionista  ,39667
443, Marina  ,75810
444, Un Misterio en Toledo  ,55952
445, Tirano 4. El rey del Bósforo  ,64381
446, Paris es Siempre una Buena Idea  ,66714
447, My Dilemma is you  ,79048
448, ubik  ,59952
449, Calle Londres  ,58476
450, Los Amantes Bajo el Danubio  ,93190
451, El guardián  ,54952
452, La Caída de los Gigantes  ,118619
453, El Guardián de la Biblia del Diablo  ,62000
454, El Nombre del Viento  ,92190
455, El Cuento de la Criada  ,69095
456, La Ventana Alta  ,57762
457, Botas de Lluvia Suecas  ,65857
458, El Anatomista  ,54095
459, Noah  ,59000
460, La Chica Que Lo Tenia Todo ,65238
461, Atardecer en París  ,69952
462, Besar al Detective  ,79048
463, El Reino de la Bella Durmiente  ,71762
464, El Viaje mas Largo  ,56952
465, Camelot  ,67619
466, La Legión de los Inmortales  ,64619
467, Futu. Re  ,75905
468, Five Nights at Freddy's 1 los Ojos de Plata  ,85619
469," Los Asesinos del Emperador: El Ascenso de Trajano, el Primer Emperador Hispano de la Historia (Novela Histórica)  ",77286
470, La Isla Prometida  ,52714
471, El Hombre Vacío  ,26000
472, La escritora ,94762
473, Leon Dorado ,70762
474, Joven y alocada  ,112190
475, Un Largo Camino a Casa  ,53286
476, El rey de los Bajos Fondos  ,52714
477, Búscame en tus Sueños  ,64381
478, El Honorable Colegial  ,57667
479, Lunar Park (Debolsillo Limited)  ,58476
480, El Rabino  ,47381
481, La Vida Entera  ,273571
482, 4. Festin de Cuervos  Cancion de Hielo y Fuego  ,73190
483, Si  ,77095
484, Austerlitz  ,84095
485, El rey de la Habana  ,66714
486," Lota, 1960. La Huelga Larga del Carbon  ",93762
487," Sueño de Plata,El  ",62190
488, La Guerra de las Tormentas i. El Camino de los Reyes  ,176143
489, La Cruz Ardiente  ,67476
490, El Regreso del Caton  ,61476
491, El Destino de Diez  ,66000
492, Por el Sendero de las Lagrimas  ,64857
493, Cucarachas  ( Libro 2 de la Serie Harry Hole )  ,61905
494, Palmeras en la Nieve  ,77286
495, Las Reglas del Destino  ,68095
496, El Gran Desierto  ,50810
497, La Sangre de los Inocentes  ,108238
498, Sorprendida. El affaire Blackstone III  ,189619
499, Una Novela Rusa  ,65429
500, Matar a un Ruiseñor  ,57333
501, Persona  ,66905
502, Las Buenas Amigas  ,87905
503, Los Dioses Tambien Aman ,75810
504, Alejandro Magno y las Aguilas de Roma  ,105238
505, El Ejercito de Dios  ,101238
506, Un Traidor Como los Nuestros  ,54476
507, La Muerte Llega a Pemberley  ,36000
508, La Sombra de la Montaña  ,64476
509, Pecado  ,72571
510, La Ultima Cancion  ,67619
511, La Sonrisa de un Perro  ,73190
512, El Estafador  ,111667
513, Un regalo extraordinario  ,52810
514, Playback  ,54905
515, Los Herederos de la Tierra  ,86952
516, El Simpatizante  ,59381
517, El Secreto Del Dresden (Novela)  ,84952
518, La luz que Perdimos  ,82000
519, La Ultima Cancion  ,66905
520, A la Caza de la Mujer  ,49762
521," LAGRIMAS DE JULIO CESAR,LAS  ",72000
522, Dara & Nick  ,67524
523, El Último Adiós  ,87905
524, Comer Rezar Amar  ,56905
525, Juegos Funerarios (Saga Tirano 3)  ,67286
526, Espartaco: Rebelión  ,101667
527, Palabras Radiantes  ,102810
528, Las ilusiones perdidas (libro en Espanol)  ,37000
529, El Primer Hombre Malo ,67524
530, Un Traidor Como los Nuestros  ,57667
531, La Templanza  ,84667
532, Chaman  ,75095
533, La Casa Rusia ,57667
534, Un pedigrí  ,62333
535, La Catedral del mar  ,54952
536, La Sinfonía del Tiempo  ,62571
537, Las Hijas de España (Los Reyes Católicos 3) (b de Bolsillo)  ,69238
538, Te lo Dije  ,84048
539, EL HEREDERO DEL DIABLO ,64381
540, Cianuro Espumoso  ,64048
541, Algo Parecido al Verdadero Amor  ,59524
542, Un Elefante Para Carlomagno  ,59000
543, La Bodega  ,44714
544, Liquidacion Final  ,54667
545, Las Cadenas del Destino  ,84952
546, La Chica Del Tambor  ,57667
